Sr.No.,Name,SMILES,CAS No,Mol. Wt.,Mol. Formula,PubChem,ZINC
477,Dichlorprop,CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,120-36-5,235.06,C9H8Cl2O3,8427,ZINC56613
478,Ethylparaben,CCOC(=O)C1=CC=C(C=C1)O,9001-05--2,166.17,C9H10O3,8434,ZINC1392
479,"2,2'-Dithiobisbenzothiazole",C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3,120-78-5,332.49,C14H8N2S4,8447,ZINC1555224
480,Endothal-disodium,C1CC2C(C(C1O2)C(=O)[O-])C(=O)[O-].[Na+].[Na+],13114-29-9,230.13,C8H10O5,8519,ZINC3872447
481,Quinine sulfate,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3CC4CCN3C[C@@H]4C=C)O,804-63-7,324.42,C20H24N2O2,8549,ZINC1842530
482,Dipentyl phthalate,CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCC,131-18-0,306.40,C18H26O4,8561,ZINC1680363
483,Cinchophen,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)O,132-60-5,249.26,C16H11NO2,8593,ZINC125047
484,Captan,C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl,133-06-2,300.59,C9H8Cl3NO2S,8606,ZINC13493740
485,Chloroprocaine,CCN(CC)CCOC(=O)C1=C(C=C(C=C1)N)Cl,133-16-4,270.76,C13H19ClN2O2,8612,ZINC1530938
486,Indole-3-butyric acid,C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O,133-32-4,203.24,C12H13NO2,8617,ZINC57378
487,DL-Dopa,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,63-84-3,197.19,C9H11NO4,836,ZINC895199
488,Chloramben,C1=C(C=C(C(=C1N)Cl)C(=O)O)Cl,133-90-4,206.03,C7H5Cl2NO2,8630,ZINC388319
489,9-Aminoacridine hydrochloride,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)N.Cl,134-50-9,230.69,C13H10N2,8643,ZINC19014768
490,Disul,C1=CC(=C(C=C1Cl)Cl)OCCOS(=O)(=O)O,149-26-8,287.12,C8H8Cl2O5S,8701,ZINC1692372
491,Ziram,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2],137-30-4,305.81,C3H7NS2,8722,ZINC1693329
492,Sodium malate,C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+],676-46-0,178.05,C4H4Na2O5,8736,
493,Piperazine adipate,C1CNCCN1.C(CCC(=O)O)CC(=O)O,142-88-1,232.28,C6H10O4,8905,ZINC1530348
494,Sodium cyanide,[C-]#N.[Na+],143-33-9,49.01,NaCN,8929,
495,Anileridine,CCOC(=O)C1(CCN(CC1)CCC2=CC=C(C=C2)N)C3=CC=CC=C3,144-14-9,352.47,C22H28N2O2,8944,ZINC608179
496,Urea,C(=O)(N)N,57-13-6,60.05,CH4N2O,1176,ZINC8214514
497,DL-Adrenaline,CNCC(C1=CC(=C(C=C1)O)O)O,329-65-7,183.20,C9H13NO3,838,ZINC39090
498,D-Proline,C1C[C@@H](NC1)C(=O)O,344-25-2,115.13,C5H9NO2,8988,ZINC895360
499,Disodium succinate,C(CC(=O)[O-])C(=O)[O-].[Na+].[Na+],150-90-3,162.05,C4H6O4,9020,ZINC895030
500,Dydrogesterone,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@@H]3[C@H]2C=CC4=CC(=O)CC[C@@]34C)C,152-62-5,312.45,C21H28O2,9051,ZINC3875998
501,"Dibenzo(A,H)pyrene",C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC6=CC=CC=C56)C=C3,189-64-0,302.37,C24H14,9108,ZINC2168369
502,"Dibenzo[a,l]pyrene",C1=CC=C2C(=C1)C=C3C=CC4=C5C3=C2C6=CC=CC=C6C5=CC=C4,191-30-0,302.37,C24H14,9119,ZINC1580749
503,Bis(2-ethylhexyl) hydrogen phosphate,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,298-07-7,322.42,C16H35O4P,9275,ZINC3876026
504,Calcium gluconate,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Ca+2],299-28-5,430.37,C6H12O7,9290,ZINC1531008
505,Chlormadinone acetate,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)CC[C@]34C)Cl)C)OC(=O)C,302-22-7,404.93,C23H29ClO4,9324,ZINC3876041
506,Nitrogen mustard N-oxide hydrochloride,C[N+](CCCl)(CCCl)[O-].Cl,302-70-5,208.51,C5H11Cl2NO,9334,ZINC1706026
507,Hydralazine hydrochloride,C1=CC=C2C(=C1)C=NN=C2NN.Cl,304-20-1,196.64,C8H8N4,9351,ZINC12360535
508,DL-Leucine,CC(C)CC(C(=O)O)N,328-39-2,131.17,C6H13NO2,857,ZINC388396
509,Bromacil,CCC(C)N1C(=O)C(=C(NC1=O)C)Br,314-40-9,261.12,C9H13BrN2O2,9411,ZINC178090
510,Mexacarbate,CC1=CC(=CC(=C1N(C)C)C)OC(=O)NC,315-18-4,222.28,C12H18N2O2,9414,ZINC2040842
511,Linuron,CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC,330-55-2,249.09,C9H10Cl2N2O2,9502,ZINC900693
512,Bromochlorodifluoromethane,C(F)(F)(Cl)Br,353-59-3,165.36,CBrClF2,9625,ZINC59972240
513,"1-Chloro-1,1,2,2-tetrafluoroethane",C(C(F)(F)Cl)(F)F,354-25-6,136.48,C2HClF4,9632,ZINC63148511
514,"1,1,1-Trichloro-2,2,2-trifluoroethane",C(C(Cl)(Cl)Cl)(F)(F)F,354-58-5,187.38,C2Cl3F3,9635,ZINC56961652
515,Perfluorohexane,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,355-42-0,338.04,C6F14,9639,ZINC6827705
516,"2,3-Dimethoxystrychnidin-10-one",COC1=C(C=C2C(=C1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7C4N2C(=O)CC7OCC=C6C5)OC,357-57-3,394.46,C23H26N2O4,9649,ZINC1069090
517,Mipafox,CC(C)NP(=O)(NC(C)C)F,371-86-8,182.18,C6H16FN2OP,9738,ZINC43065063
518,"1,1-Dichloro-1,2,2,2-tetrafluoroethane",C(C(F)(Cl)Cl)(F)(F)F,374-07-2,170.92,C2Cl2F4,9775,ZINC83309381
519,Betamethasone,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,378-44-9,392.46,C22H29FO5,9782,ZINC3876136
520,Cyanoguanidine,C(#N)N=C(N)N,461-58-5,84.08,C2H4N4,10005,ZINC5112486
521,Calcium carbonate,C(=O)([O-])[O-].[Ca+2],471-34-1,100.09,CaCO3,10112,
522,Tetryl,CN(C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],479-45-8,287.14,C7H5N5O8,10178,
523,Epitestosterone,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=CC(=O)CC[C@]34C,481-30-1,288.42,C19H28O2,10204,ZINC4538008
524,Sodium carbonate,C(=O)([O-])[O-].[Na+].[Na+],497-19-8,105.99,Na2CO3,10340,
525,Silver cyanide,[C-]#N.[Ag+],506-64-9,133.89,AgCN,10475,
526,Barium carbonate,C(=O)([O-])[O-].[Ba+2],513-77-9,197.34,BaCO3,10563,
527,Ferrous oxalate,C(=O)(C(=O)[O-])[O-].[Fe+2],516-03-0,143.86,FeC2O4,10589,
528,Dimenhydrinate,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,523-87-5,469.96,C17H21NO,10660,ZINC20244
529,Acetanilide,CC(=O)NC1=CC=CC=C1,103-84-4,135.16,C8H9NO,904,ZINC142824
530,"1,2-Naphthoquinone",C1=CC=C2C(=C1)C=CC(=O)C2=O,524-42-5,158.15,C10H6O2,10667,ZINC1700208
531,Copper gluconate,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Cu+2],527-09-3,453.84,C12H22CuO14,10692,
532,"4,6-Dinitro-O-cresol",CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],534-52-1,198.13,C7H6N2O5,10800,ZINC12405045
533,Methamphetamine,C[C@@H](CC1=CC=CC=C1)NC,537-46-2,149.23,C10H15N,10836,ZINC6021043
534,Tricaprylin,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,538-23-8,470.68,C27H50O6,10850,ZINC8214697
535,Dodecamethylcyclohexasiloxane,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,540-97-6,444.92,C12H36O6Si6,10911,ZINC169794506
536,Hexadecane,CCCCCCCCCCCCCCCC,544-76-3,226.44,C16H34,11006,ZINC38141452
537,Magnesium carbonate,C(=O)([O-])[O-].[Mg+2],546-93-0,84.31,MgCO3,11029,
538,Quinidine sulfate,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O,7778-93-0,422.50,C20H26N2O6S,11069,
539,Naphazoline hydrochloride,C1CN=C(N1)CC2=CC=CC3=CC=CC=C32.Cl,550-99-2,246.74,C14H14N2,11079,ZINC119717
540,Tristearin,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,555-43-1,891.48,C57H110O6,11146,ZINC85545202
541,Magnesium stearate,CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Mg+2],557-04-0,591.24,C36H70MgO4,11177,
542,Polyvinyl alcohol,C=CO,9002-89-5,44.05,C2H4O,11199,
543,Thallium acetate,CC(=O)[O-].[Tl+],563-68-8,263.43,TlC2H3O2,11247,
544,Chlorotrianisene,COC1=CC=C(C=C1)C(=C(C2=CC=C(C=C2)OC)Cl)C3=CC=C(C=C3)OC,569-57-3,380.86,C23H21ClO3,11289,ZINC1530598
545,Congo red,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],573-58-0,696.66,C32H24N6O6S2,11313,ZINC3830554
546,Potassium carbonate,C(=O)([O-])[O-].[K+].[K+],584-08-7,138.21,K2CO3,11430,
547,3-Methoxybenzoic acid,COC1=CC=CC(=C1)C(=O)O,586-38-9,152.15,C8H8O3,11461,ZINC120430
548,Mercuric cyanide,C(#N)[Hg]C#N,592-04-1,252.62,C2HgN2,11591,
549,N-Butylurea,CCCCNC(=O)N,592-31-4,116.16,C5H12N2O,11595,ZINC1641022
550,Nicotinamide,C1=CC(=CN=C1)C(=O)N,98-92-0,122.12,C6H6N2O,936,ZINC5878
551,Mercury dithiocyanate,C(#N)[S-].C(#N)[S-].[Hg+2],592-85-8,316.75,C2HgN2S2,11615,
552,Lead dithiocyanate,C(#N)[S-].C(#N)[S-].[Pb+2],592-87-0,323.36,Pb(CNS)2,11616,
553,Triphenylphosphine,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,603-35-0,262.29,C18H15P,11776,ZINC8585891
554,Brilliant Green cation,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC=CC=C3,18198-35-1,385.56,C27H33N2+,12450,ZINC4235575
555,Phendimetrazine,CC1C(OCCN1C)C2=CC=CC=C2,21784-30-5,191.27,C12H17NO,12460,ZINC22010375
556,Erythromycin,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,114-07-8,733.93,C37H67NO13,12560,ZINC85534336
557,Nicotinic acid,C1=CC(=CN=C1)C(=O)O,59-67-6,123.11,C6H5NO2,938,ZINC1795
558,"1,1,1,3,3,3-Hexafluoropropane",C(C(F)(F)F)C(F)(F)F,690-39-1,152.04,C3H2F6,12722,ZINC2031418
559,Tolylfluanid,CC1=CC=C(C=C1)N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C,731-27-1,347.26,C10H13Cl2FN2O2S2,12898,ZINC2031267
560,Hexaethyl tetraphosphate,CCOP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OCC,757-58-4,506.25,C12H30O13P4,12960,ZINC31483736
561,Levonorgestrel,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,797-63-7,312.45,C21H28O2,13109,ZINC3814395
562,Calcium citrate,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Ca+2].[Ca+2].[Ca+2],813-94-5,498.43,C12H10Ca3O14,13136,
563,Calcium lactate,CC(C(=O)[O-])O.CC(C(=O)[O-])O.[Ca+2],814-80-2,218.22,C6H10CaO6,13144,
564,Cobaltous citrate,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Co+2].[Co+2].[Co+2],866-81-9,555.00,C12H10Co3O14,13343,
565,Potassium citrate,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[K+].[K+].[K+],866-84-2,306.39,K3C6H5O7,13344,
566,Sodium tartrate,C(C(C(=O)[O-])O)(C(=O)[O-])O.[Na+].[Na+],868-18-8,194.05,C4H4Na2O6,13355,
567,Diphenamid,CN(C)C(=O)C(C1=CC=CC=C1)C2=CC=CC=C2,957-51-7,239.31,C16H17NO,13728,ZINC155224
568,Benzyldimethyloctylammonium chloride,CCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],959-55-7,283.88,C17H30ClN,13740,
569,Ethylestrenol,CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CCCC[C@H]34)C)O,965-90-2,288.47,C20H32O,13765,ZINC4215863
570,Testolactone,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC(=O)O2)CCC4=CC(=O)C=C[C@]34C,968-93-4,300.39,C19H24O3,13769,ZINC4081771
571,Chromium(III) acetate,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Cr+3],1066-30-4,229.13,C6H9CrO6,14012,
572,Ethambutol Hydrochloride,CC[C@@H](CO)NCCN[C@@H](CC)CO.Cl.Cl,1070-11-7,277.23,C10H26Cl2N2O2,14051,
573,Ethambutol,CC[C@@H](CO)NCCN[C@@H](CC)CO,74-55-5,204.31,C10H24N2O2,14052,ZINC19364219
574,Mobam,CNC(=O)OC1=C2C=CSC2=CC=C1,1079-33-0,207.25,C10H9NO2S,14119,ZINC2039968
575,N-Nitrosodiethanolamine,C(CO)N(CCO)N=O,1116-54-7,134.13,C4H10N2O3,14223,ZINC5260521
576,Decabromodiphenyl oxide,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br,1163-19-5,959.17,C12Br10O,14410,ZINC150339491
577,Dodecyl gallate,CCCCCCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,1166-52-5,338.44,C19H30O5,14425,ZINC33861415
578,Homidium bromide,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],1239-45-8,394.31,C21H20BrN3,14710,
579,Barium peroxide,[O-][O-].[Ba+2],1304-29-6,169.33,BaO2,14773,
580,Beryllium oxide,[Be]=O,1304-56-9,25.01,BeO,14775,
581,Calcium dihydroxide,[OH-].[OH-].[Ca+2],12177-68-3,74.09,CaH2O2,14777,
582,Calcium oxide,O=[Ca],1305-78-8,56.08,CaO,14778,
583,Calcium peroxide,[O-][O-].[Ca+2],1305-79-9,72.08,CaO2,14779,
584,Cadmium oxide,O=[Cd],1306-19-0,128.41,CdO,14782,
585,Magnesium dihydroxide,[OH-].[OH-].[Mg+2],1317-43-7,58.32,H2MgO2,14791,
586,Magnesium oxide,O=[Mg],1309-48-4,40.30,MgO,14792,
587,Senarmontite,[O-2].[O-2].[O-2].[Sb+3].[Sb+3],1327-33-9,291.52,Sb2O3,14794,
588,Potassium hydroxide,[OH-].[K+],1310-58-3,56.11,KOH,14797,
589,Sodium hydroxide,[OH-].[Na+],1310-73-2,40.00,NaOH,14798,
590,Sodium hydroxide,[O-2].[O-2].[O-]S(=O)(=O)[O-].[Hg+2].[Hg+2].[Hg+2],1312-03-4,729.83,Hg3O6S,14799,
591,Molybdenum trioxide,O=[Mo](=O)=O,1313-27-5,143.96,MoO3,14802,
592,Zinc oxide,O=[Zn],1314-13-2,81.38,ZnO,14806,
593,Strontium peroxide,[O-][O-].[Sr+2],1314-18-7,119.62,O2Sr,14807,
594,Zinc peroxide,OO.[Zn],1314-22-3,99.39,ZnO2,14809,
595,Vanadium pentoxide,O=[V](=O)O[V](=O)=O,1314-62-1,181.88,V2O5,14814,
596,Copper(II) oxide,O=[Cu],1317-38-0,79.55,CuO,14829,
597,Chromium trioxide,O=[Cr](=O)=O,1333-82-0,99.99,CrO3,14915,
598,Acetamide,CC(=O)N,60-35-5,59.07,C2H5NO,178,ZINC8034818
599,Oxalic acid,C(=O)(C(=O)O)O,144-62-7,90.03,C2H2O4,971,ZINC6021239
600,Ammonium bifluoride,[NH4+].F.[F-],1341-49-7,57.04,F2H5N,14935,
601,Magnesium silicate hydrate,O.[O-][Si]1(O[Si]2(O1)O[Si](O2)([O-])[O-])[O-].[Mg+2].[Mg+2],1343-90-4,278.88,H2Mg2O9Si3,14936,
602,"Silicic acid, calcium salt",[O-][Si]([O-])([O-])[O-].[Ca+2].[Ca+2],1344-95-2,172.24,CaSiO3,14941,
603,Flurandrenolide,C[C@]12CCC(=O)C=C1[C@H](C[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3C[C@@H]5[C@]4(OC(O5)(C)C)C(=O)CO)C)O)F,1524-88-5,436.51,C24H33FO6,15209,ZINC4097308
604,Strontium carbonate,C(=O)([O-])[O-].[Sr+2],1633-05-2,147.63,SrCO3,15407,
605,"1,2-Dichloro-1,1-difluoroethane",C(C(F)(F)Cl)Cl,1649-08-7,134.94,C2H2Cl2F2,15442,ZINC63148406
606,Metaxalone,CC1=CC(=CC(=C1)OCC2CNC(=O)O2)C,1665-48-1,221.25,C12H15NO3,15459,ZINC471
607,Denatonium,CC[N+](CC)(CC1=CC=CC=C1)CC(=O)NC2=C(C=CC=C2C)C,47324-98-1,325.47,C21H29N2O+,15488,ZINC1601437
608,Bromoxynil,C1=C(C=C(C(=C1Br)O)Br)C#N,1689-84-5,276.91,C7H3Br2NO,15531,ZINC334873
609,Chloridazon,C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)N)Cl,1698-60-8,221.64,C10H8ClN3O,15546,ZINC35807
610,Oxygen,O=O,7782-44-7,32.00,O2,977,
611,Clopyralid,C1=CC(=NC(=C1Cl)C(=O)O)Cl,1702-17-6,192.00,C6H3Cl2NO2,15553,ZINC139433
612,Monolinuron,CN(C(=O)NC1=CC=C(C=C1)Cl)OC,1746-81-2,214.65,C9H11ClN2O2,15629,ZINC213098
613,Diamidafos,CNP(=O)(NC)OC1=CC=CC=C1,1754-58-1,200.17,C8H13N2O2P,15643,ZINC2039271
614,Ammonium thiocyanate,C(#N)[S-].[NH4+],1762-95-4,76.12,NH4SCN,15666,
615,Ammonium Benzoate,C1=CC=C(C=C1)C(=O)[O-].[NH4+],1863-63-4,139.15,C7H9NO2,15830,
616,Paraquat dichloride,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C.[Cl-].[Cl-],1910-42-5,257.16,C12H14Cl2N2,15938,
617,Paraquat,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,4685-14-7,186.25,C12H14N2+2,15939,ZINC3861781
618,"2-Butoxyethyl 2,4-dichlorophenoxyacetate",CCCCOCCOC(=O)COC1=C(C=C(C=C1)Cl)Cl,1929-73-3,321.20,C14H18Cl2O4,16002,ZINC2039104
619,Chloroxuron,CN(C)C(=O)NC1=CC=C(C=C1)OC2=CC=C(C=C2)Cl,1982-47-4,290.74,C15H15ClN2O2,16115,ZINC2039034
620,Siduron,CC1CCCCC1NC(=O)NC2=CC=CC=C2,1982-49-6,232.32,C14H20N2O,16116,ZINC395839
621,4-Aminobenzoic acid,C1=CC(=CC=C1C(=O)O)N,150-13-0,137.14,C7H7NO2,978,ZINC920
622,"2,4-D Dimethylamine salt",CNC.C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,2008-39-1,266.12,C10H13Cl2NO3,16180,
623,Cycluron,CN(C)C(=O)NC1CCCCCCC1,2163-69-1,198.31,C11H22N2O,16554,ZINC13829508
624,Fluometuron,CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F,2164-17-2,232.20,C10H11F3N2O,16562,ZINC2038834
625,Mirex,C12(C3(C4(C5(C3(C(C1(C5(C2(C4(Cl)Cl)Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl,2385-85-5,545.54,C10Cl12,16945,ZINC8437692
626,Chinomethionat,CC1=CC2=C(C=C1)N=C3C(=N2)SC(=O)S3,2439-01--2,234.30,C10H6N2OS2,17109,ZINC1590887
627,Acetosyringone,CC(=O)C1=CC(=C(C(=C1)OC)O)OC,2478-38-8,196.20,C10H12O4,17198,ZINC156899
628,Formothion,CN(C=O)C(=O)CSP(=S)(OC)OC,2540-82-1,257.27,C6H12NO4PS2,17345,ZINC2036065
629,Sulfur hexafluoride,FS(F)(F)(F)(F)F,2551-62-4,146.06,F6S,17358,ZINC245224194
630,Promecarb,CC1=CC(=CC(=C1)OC(=O)NC)C(C)C,2631-37-0,207.27,C12H17NO2,17516,ZINC1667587
631,Sulfuryl fluoride,O=S(=O)(F)F,2699-79-8,102.06,F2O2S,17607,ZINC242581698
632,4-Nitrophenol,C1=CC(=CC=C1[N+](=O)[O-])O,100-02-7,139.11,C6H5NO3,980,ZINC34828682
633,Ammonium bitartrate,[C@@H]([C@H](C(=O)O)O)(C(=O)O)O.N,14307-43-8,167.12,C4H12N2O6,18352,
634,Tetramethylsuccinonitrile,CC(C)(C#N)C(C)(C)C#N,3333-52-6,136.19,C8H12N2,18745,ZINC388905
635,Dithianon,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)SC(=C(S3)C#N)C#N,3347-22-6,296.32,C14H4N2O2S2,18771,ZINC1755317
636,Zinc carbonate,C(=O)([O-])[O-].[Zn+2],3486-35-9,125.39,ZnCO3,19005,
637,Megestrol,CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)O)C)[C@@]4(C1=CC(=O)CC4)C,3562-63-8,342.47,C22H30O3,19090,ZINC4097356
638,Diheptyl phthalate,CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC,3648-21-3,362.50,C22H34O4,19284,ZINC8437777
639,Chlorophacinone,C1=CC=C(C=C1)C(C2=CC=C(C=C2)Cl)C(=O)C3C(=O)C4=CC=CC=C4C3=O,3691-35-8,374.82,C23H15ClO3,19402,ZINC100038032
640,Denatonium benzoate,CC[N+](CC)(CC1=CC=CC=C1)CC(=O)NC2=C(C=CC=C2C)C.C1=CC=C(C=C1)C(=O)[O-],3734-33-6,446.58,C28H34N2O3,19518,
641,Nesacaine,CC[NH+](CC)CCOC(=O)C1=C(C=C(C=C1)N)Cl.[Cl-],3858-89-7,307.22,C13H19ClN2O2,19727,ZINC1530938
642,Bitoscanate,C1=CC(=CC=C1N=C=S)N=C=S,4044-65-9,192.26,C8H4N2S2,19958,ZINC1035
643,Disodium 5'-inosinate,C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)([O-])[O-])O)O.[Na+].[Na+],4691-65-0,392.17,C10H13N4O8P,135414245,ZINC4228242
644,"4,5-Dihydro-2-(1-naphthylmethyl)-1H-imidazolium nitrate",C1CN=C([NH2+]1)CC2=CC=CC3=CC=CC=C32.[N+](=O)([O-])[O-],10061-11-7,273.29,C14H14N2,21225,ZINC119717
645,Octyl methoxycinnamate,CCCCC(CC)COC(=O)C=CC1=CC=C(C=C1)OC,5466-77-3,290.40,C18H26O3,21630,ZINC1633887
646,Disodium 5'-guanylate,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O)NC(=NC2=O)N.[Na+].[Na+],5550-12--9,407.18,C10H14N5O8P,135414246,ZINC2159505
647,Maleic hydrazide,C1=CC(=O)NNC1=O,123-33-1,112.09,C4H8N4O2,21954,ZINC100018279
648,Terbacil,CC1=C(C(=O)N(C(=O)N1)C(C)(C)C)Cl,5902-51-2,216.66,C9H13ClN2O2,22188,ZINC240079
649,Ferric cacodylate,C[As](=O)(C)[O-].C[As](=O)(C)[O-].C[As](=O)(C)[O-].[Fe+3],5968-84-3,466.81,C6H18As3FeO6,22273,
650,Sodium aurothiomalate,C(C(C(=O)[O-])[S-])C(=O)[O-].[Na+].[Na+].[Au+],12244-57-4,390.08,C4H3AuNa2O4S,22318,
651,Cyclophosphamide monohydrate,C1CNP(=O)(OC1)N(CCCl)CCCl.O,6055-19-2,279.10,C7H17Cl2N2O3P,22420,
652,Calcium saccharin hydrate,C1=CC=C2C(=C1)C(=NS2(=O)=O)[O-].C1=CC=C2C(=C1)C(=NS2(=O)=O)[O-].O.[Ca+2],6381-91-5,422.45,C14H10CaN2O7S2,22879,
653,DL-Phenylalanine,C1=CC=C(C=C1)CC(C(=O)O)N,150-30-1,165.19,C9H11NO2,994,ZINC1927
654,"1,3-Bis(hydroxymethyl)-5,5-dimethylimidazolidine-2,4-dione",CC1(C(=O)N(C(=O)N1CO)CO)C,6440-58-0,188.18,C7H12N2O4,22947,ZINC2033948
655,Ammonium nitrate,[NH4+].[N+](=O)([O-])[O-],6484-52-2,80.04,NH4NO3,22985,
656,D-Glutamic acid,C(CC(=O)O)[C@H](C(=O)O)N,6893-26-1,147.13,C5H9NO4,23327,ZINC895124
657,L-Cysteine hydrochloride monohydrate,C([C@@H](C(=O)O)N)S.O.Cl,7048-04--6,175.63,C3H10ClNO3S,23462,
658,Ampicillin trihydrate,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C.O.O.O,7177-48-2,403.45,C16H25N3O7S,23565,
659,Mercury,[Hg],7439-97-6,200.59,Hg,23931,
660,Neon,[Ne],7440--01-9,20.18,Ne,23935,
661,Tantalum,[Ta],7440-25-7,180.95,Ta,23956,
662,Argon,[Ar],231-147-0,39.95,Ar,23968,
663,Cadmium,[Cd],7440-43-9,112.41,Cd,23973,
664,Phosphoric acid,OP(=O)(O)O,7664-38-2,98.00,H3O4P,1004,ZINC8214513
665,Chromium,[Cr],7440-47-3,52.00,Cr,23976,
666,Copper,[Cu],7440-50-8,63.55,Cu,23978,
667,Gold,[Au],7440-57-5,196.97,Au,23985,
668,Helium,[He],7440-59-7,4.00,He,23987,
