,Accession Number,Name,CAS
1494,T3D1788,2-Bromopropane,75-26-3
1495,T3D1789,N-Bromosuccinimide,128-08-5
1496,T3D1790,5-Bromouracil,51-20-7
1497,T3D1791,Broxyquinoline,521-74-4
1498,T3D1792,"1,3-Dibromo-5,5-dimethylhydantoin",77-48-5
1499,T3D1793,"1,1-Dibromoethane",557-91-5
1500,T3D1795,Dibromomethane,74-95-3
1501,T3D1796,"1,2-Dibromopropane",78-75-1
1502,T3D1797,"1,3-Dibromopropane",109-64-8
1503,T3D1798,Dibrompropamidine,496-00-4
1504,T3D1799,Ethyl bromoacetate,105-36-2
1505,T3D1800,Hexabromocyclododecane,25637-99-4
1506,T3D1801,Phenacyl bromide,70-11-1
1507,T3D1802,1-Bromopropane,106-94-5
1508,T3D1803,Tetrabromobisphenol A,79-94-7
1509,T3D1804,"1,1,2,2-Tetrabromoethane",79-27-6
1510,T3D1805,Tribromoisocyanuric acid,17497-85-7
1511,T3D1806,Vinyl bromide,593-60-2
1512,T3D1807,o-Xylyl bromide,89-92-9
1513,T3D1808,p-Xylyl bromide,28258-59-5
1514,T3D1809,m-Xylyl bromide,620-13-3
1515,T3D1810,Bromine dioxide,21255-83-4
1516,T3D1811,Bromine(I) chloride,13863-41-7
1517,T3D1812,Bromine pentafluoride,7789-30-2
1518,T3D1813,Bromine trifluoride,7787-71-5
1519,T3D1814,Bromopentacarbonylrhenium(I),14220-21-4
1520,T3D1815,Selenic acid,7783-08-6
1521,T3D1816,Sodium selenate,13410-01-0
1522,T3D1817,Benzeneselenol,645-96-5
1523,T3D1818,Diphenyl diselenide,1666-13-3
1524,T3D1819,Selenium dioxide,7446-08-4
1525,T3D1820,Selenium Sulfide,7446-34-6
1526,T3D1821,Selenium disulfide,7488-56-4
1527,T3D1822,Selenium hexafluoride,7783-79-1
1528,T3D1823,Selenium hexasulfide,75926-26-0
1529,T3D1824,Selenium oxydichloride,7791-23-3
1530,T3D1825,Selenium tetrachloride,10026-03-6
1531,T3D1826,Selenium tetrafluoride,13465-66-2
1532,T3D1827,Selenium trioxide,13768-86-0
1533,T3D1828,Aluminium selenide,1302-82-5
1534,T3D1829,Antimony triselenide,1315-05-5
1535,T3D1830,Carbon diselenide,506-80-9
1536,T3D1831,Gallium(II) selenide,12024-11-2
1537,T3D1832,Gallium(III) selenide,12024-24-7
1538,T3D1833,Germanium selenide,12065-10-0
1539,T3D1834,Hydrogen selenide,7783-07-5
1540,T3D1835,Indium(III) selenide,12056-07-4
1541,T3D1836,Silver(I) selenide,1302-09-6
1542,T3D1837,Selenous acid,7783-00-8
1543,T3D1838,Silver selenite,7784-05-6
1544,T3D1839,Sodium selenite,10102-18-8
1545,T3D1840,Thallium selenide,12039-52-0
1546,T3D1841,Selenium dimethyldithiocarbamate,144-34-3
1547,T3D1842,m-Cresol,108-39-4
1548,T3D1843,Bifenthrin,82657-04-3
1549,T3D1844,Bioresmethrin,28434-01-7
1550,T3D1846,Fenpropathrin,39515-41-8
1551,T3D1847,Flucythrinate,70124-77-5
1552,T3D1848,Flumethrin,69770-45-2
1553,T3D1849,Tau-fluvalinate,102851-06-9
1554,T3D1850,Permethrin,52645-53-1
1555,T3D1851,Tefluthrin,79538-32-2
1556,T3D1852,Tralomethrin,66841-25-6
1557,T3D1853,Cinerin I,25402-06-6
1558,T3D1854,Cinerin II,121-20-0
1559,T3D1855,Jasmolin I,4466-14-2
1560,T3D1856,Jasmolin II,1172-63-0
1561,T3D1857,Pyrethrin I,121-21-1
1562,T3D1858,Pyrethrin II,121-29-9
1563,T3D1859,Antimony monosulfide,12067-17-3
1564,T3D1860,Antimony tetramer,12597-17-0
1565,T3D1861,Antimony(III) isopropoxide,18770-47-3
1566,T3D1862,Antimony(III) ethoxide,10433-06-4
1567,T3D1863,Chlorofluorotrimethylantimony,13077-54-8
1568,T3D1864,Chlorohydroxytriphenylantimony,36368-97-5
1569,T3D1866,Diantimony diselenide,193095-46-4
1570,T3D1867,Diantimony tetrasulfide,12359-48-7
1571,T3D1868,Dibromotributylantimony,16629-56-4
1572,T3D1869,Dichlorotribenzylantimony,19493-17-5
1573,T3D1870,Dioxygenyl hexafluoroantimonate,12361-66-9
1574,T3D1872,Hexafluoroantimonic acid,16950-06-4
1575,T3D1873,Lithium hexafluoroantimonate(V),18424-17-4
1576,T3D1874,Magic acid (fluorosulfuric acid-antimony pentafluoride),23854-38-8
1577,T3D1875,Nitronium hexafluoroantimonate(V),17856-92-7
1578,T3D1876,Nitrosonium (nitrosyl) hexafluoroantimonate,16941-06-3
1579,T3D1877,Potassium hexahydroxoantimonate(V),12208-13-8
1580,T3D1879,Potassium hexafluoroantimonate(V),16893-92-8
1581,T3D1880,Potassium pyroantimonate,10090-54-7
1582,T3D1881,Silver(I) hexafluoroantimonate,26042-64-8
1583,T3D1882,Sodium hexafluoroantimonate,16925-25-0
1584,T3D1883,Sodium thioantimonate(V),13776-84-6
1585,T3D1884,Tetrabutylantimony(V) bromide,45212-19-9
1586,T3D1885,Tetraphenylantimony bromide,16894-69-2
1587,T3D1886,Triantimony disulfide,107373-21-7
1588,T3D1887,Triethyloxonium hexachloroantimonate,3264-67-3
1589,T3D1888,Trimethylantimony bromide,5835-64-3
1590,T3D1889,Trimethylantimony dichloride,13059-67-1
1591,T3D1890,Trimethylantimony diiodide,13077-53-7
1592,T3D1891,Trimethyloxonium hexachlorantimonate,54075-76-2
1593,T3D1892,Triphenylantimony,603-36-1
1594,T3D1893,Triphenylantimony diacetate,1538-62-1
1595,T3D1894,Triphenylantimony dibenzoate,57997-56-5
1596,T3D1895,Triphenylantimony dichloride,594-31-0
1597,T3D1896,Triphenylthioantimonate,28609-58-7
1598,T3D1897,Triphenylcarbenium hexachloroantimonate,52704-88-8
1599,T3D1898,Tris(1-naphthyl)antimony,27309-70-2
1600,T3D1899,Tris(3-(trifluoromethyl)phenyl)antimony,386-91-4
1601,T3D1900,Tris(4-bromophenyl)aminium hexachloroantimonate,24964-91-8
1602,T3D1901,Tris(4-bromophenyl)antimony,17946-45-1
1603,T3D1902,Tris(dimethylamino)antimony,7289-92-1
1604,T3D1903,Tris(o-tolyl)antimony,23822-15-3
1605,T3D1904,Tris(p-tolyl)antimony,5395-43-7
1606,T3D1905,Antimony acetate,3643-76-3
1607,T3D1906,"cis-1,3-Dichloropropene",10061-01-5
1608,T3D1907,"trans-1,3-Dichloropropene",10061-02-6
1609,T3D1908,"1,1-Dichloropropene",563-58-6
1610,T3D1909,"1,2-Dichloropropene",563-54-2
1611,T3D1910,"2,3-Dichloropropene",78-88-6
1612,T3D1911,"3,3-Dichloropropene",563-57-5
1613,T3D1912,Magnesium perchlorate,10034-81-8
1614,T3D1913,Potassium perchlorate,7778-74-7
1615,T3D1914,Ammonium perchlorate,7790-98-9
1616,T3D1915,Sodium perchlorate,7601-89-0
1617,T3D1916,Lithium perchlorate,7791-03-9
1618,T3D1917,2-Monobromobiphenyl,252-07-7
1619,T3D1918,"2,3-Dibromobiphenyl",115245-06-2
1620,T3D1919,"2,4,5-Tribromobiphenyl",115245-07-3
1621,T3D1920,"3,4,5-Tribromobiphenyl",115245-08-4
1622,T3D1921,"2,3,4,5-Tetrabromobiphenyl",115245-09-5
1623,T3D1922,"2,3,4,6-Tetrabromobiphenyl",115245-10-8
1624,T3D1923,"2,2',3,3',4,6'-Hexabromobiphenyl",119264-50-5
1625,T3D1924,"2,2',3,3',5,6'-Hexabromobiphenyl",119264-51-6
1626,T3D1925,"2,2',3,4,5',6-Hexabromobiphenyl",119264-52-7
1627,T3D1926,"2,2',3,5,5',6-Hexabromobiphenyl",119264-53-8
1628,T3D1927,"2,2',3,3',5,5',6-Heptabromobiphenyl",119264-54-9
1629,T3D1928,"2,2',3,4,4',5,6'-Heptabromobiphenyl",119264-55-0
1630,T3D1929,"2,2',3,4,4',6,6'-Heptabromobiphenyl",119264-56-1
1631,T3D1930,"2,2',3,4,5,6,6'-Heptabromobiphenyl",119264-57-2
1632,T3D1931,"2,2',3,4',5,6,6'-Heptabromobiphenyl",119264-58-3
1633,T3D1932,"2,2',3,3',4,4',6,6'-Octabromobiphenyl",119264-59-4
1634,T3D1933,"2,2',3,3',4,5,6,6'-Octabromobiphenyl",119264-60-7
1635,T3D1934,"2,2',3,4,4',5,6,6'-Octabromobiphenyl",119264-61-8
1636,T3D1935,"2,2',3,3',4,4',5,6,6'-Nonabromobiphenyl",60586-57-4
1637,T3D1936,"2,2',3,3',4,5,5',6,6'-Nonabromobiphenyl",119264-63-0
1638,T3D1937,"2,2',3,4,5,5'-Hexabromobiphenyl",120991-47-1
1639,T3D1938,"2,3,3',4,5,5'-Hexabromobiphenyl",120991-48-2
1640,T3D1939,"2,2'-Dibromobiphenyl",13029-09-9
1641,T3D1940,"2,2',3,3',4,4',5,5',6,6'-Decabromobiphenyl",13654-09-6
1642,T3D1941,"3,5-Dibromobiphenyl",16372-96-6
1643,T3D1942,"3,3',5,5'-Tetrabromobiphenyl",16400-50-3
1644,T3D1943,"3,3'-Dibromobiphenyl",16400-51-4
1645,T3D1944,3-Monobromobiphenyl,2113-57-7
1646,T3D1948,Octabromobiphenyl,27858-07-7
1647,T3D1949,Heptabromobiphenyl,35194-78-6
1648,T3D1951,"2,2',4,4',5,6'-Hexabromobiphenyl",36402-15-0
1649,T3D1952,"2,3,4,5,6-Pentabromobiphenyl",38421-62-4
1650,T3D1953,Tetrabromobiphenyl,40088-45-7
1651,T3D1954,"2,3'-Dibromobiphenyl",49602-90-6
1652,T3D1955,"2,4'-Dibromobiphenyl",49602-91-7
1653,T3D1956,Tribromobiphenyl,51202-79-0
1654,T3D1957,"2,4-Dibromobiphenyl",53592-10-2
1655,T3D1958,"2,2',3,3',5,5'-Hexabromobiphenyl",55066-76-7
1656,T3D1960,"3,4'-Dibromobiphenyl",57186-90-0
1657,T3D1961,"2,5-Dibromobiphenyl",57422-77-2
1658,T3D1962,"2,6-Dibromobiphenyl",59080-32-9
1659,T3D1963,"2,4,6-Tribromobiphenyl",59080-33-0
1660,T3D1964,"2,2',5-Tribromobiphenyl",59080-34-1
1661,T3D1965,"2,3',5-Tribromobiphenyl",59080-35-2
1662,T3D1966,"2,4',5-Tribromobiphenyl",59080-36-3
1663,T3D1967,"2,2',5,5'-Tetrabromobiphenyl",59080-37-4
1664,T3D1968,"2,3',4',5-Tetrabromobiphenyl",59080-38-5
1665,T3D1969,"2,2',4,5',6-Pentabromobiphenyl",59080-39-6
1666,T3D1970,"2,2',4,4',5,5'-Hexabromobiphenyl",59080-40-9
1667,T3D1971,"2,2',3,3',5,5',6,6'-Octabromobiphenyl",59080-41-0
1668,T3D1972,"2,2',4,4',6,6'-Hexabromobiphenyl",59261-08-4
1669,T3D1973,"3,4,4',5-Tetrabromobiphenyl",59589-92-3
1670,T3D1974,"2,2',4,5'-Tetrabromobiphenyl",60044-24-8
1671,T3D1975,"2,2',5,6'-Tetrabromobiphenyl",60044-25-9
1672,T3D1976,"3,3',4,4',5,5'-Hexabromobiphenyl",60044-26-0
1673,T3D1977,"3,4-Dibromobiphenyl",60108-72-7
1674,T3D1978,"2,4,4',6-Tetrabromobiphenyl",64258-02-2
1675,T3D1979,"2,4',6-Tribromobiphenyl",64258-03-3
1676,T3D1980,"2,4,4'-Tribromobiphenyl",6430-90-6
1677,T3D1981,"2,2',4,4'-Tetrabromobiphenyl",66115-57-9
1678,T3D1982,"3,4,4'-Tribromobiphenyl",6683-35-8
1679,T3D1983,"2,2',3,4,4',5,5'-Heptabromobiphenyl",67733-52-2
1680,T3D1984,"2,2',4,5,5'-Pentabromobiphenyl",67888-96-4
1681,T3D1985,"2,3',4,4',5-Pentabromobiphenyl",67888-97-5
1682,T3D1986,"2,2',3,4,4',5'-Hexabromobiphenyl",67888-98-6
1683,T3D1987,"2,3',4,4',5,5'-Hexabromobiphenyl",67888-99-7
1684,T3D1988,"2,2',3,3',4,4',5,5'-Octabromobiphenyl",67889-00-3
1685,T3D1989,"2,2',3,4',5',6-Hexabromobiphenyl",69278-59-7
1686,T3D1990,"2,2',3,3',4,4',5-Heptabromobiphenyl",69278-60-0
1687,T3D1991,"2,2',3,3',4,4',5',6-Octabromobiphenyl",69278-61-1
1688,T3D1992,"2,2',3,3',4,4',5,5',6-Nonabromobiphenyl",69278-62-2
1689,T3D1993,"2,2',3,3',4,5',6,6'-Octabromobiphenyl",69887-11-2
1690,T3D1994,"3,4',5-Tribromobiphenyl",72416-87-6
1691,T3D1995,"2',3,4,4',5-Pentabromobiphenyl",74114-77-5
1692,T3D1996,"3,3',4,4'-Tetrabromobiphenyl",77102-82-0
1693,T3D1997,"2,3,3',4,4',5-Hexabromobiphenyl",77607-09-1
1694,T3D1998,"2,2',3,4,6-Pentabromobiphenyl",77910-04-4
1695,T3D1999,"2,3,3',4,4',5,6-Heptabromobiphenyl",79682-25-0
1696,T3D2000,"2,2',4,5,6'-Pentabromobiphenyl",80274-92-6
1697,T3D2001,"2,3',4,5,5'-Pentabromobiphenyl",80407-70-1
1698,T3D2002,"2,2',3,4,4',5-Hexabromobiphenyl",81381-52-4
1699,T3D2003,"2,2',4,4',5-Pentabromobiphenyl",81397-99-1
1700,T3D2004,"3,3',4,5,5'-Pentabromobiphenyl",81902-33-2
1701,T3D2005,"2,2',3,3',4,4'-Hexabromobiphenyl",82865-89-2
1702,T3D2006,"2,2',3,3',4,5'-Hexabromobiphenyl",82865-90-5
1703,T3D2007,"2,3,3',4',5',6-Hexabromobiphenyl",82865-91-5
1704,T3D2008,"2,2',3,3',4,5,5'-Heptabromobiphenyl",82865-92-7
1705,T3D2009,"2,3',4,4'-Tetrabromobiphenyl",84303-45-7
1706,T3D2010,"3,3',4,4',5-Pentabromobiphenyl",84303-46-8
1707,T3D2011,"2,3,3',4,4',5'-Hexabromobiphenyl",84303-47-9
1708,T3D2012,"2,3',4,4',5',6-Hexabromobiphenyl",84303-48-0
1709,T3D2013,"2,2',3,4',5,5',6-Heptabromobiphenyl",84303-49-1
1710,T3D2014,"2,3',4,4',6-Pentabromobiphenyl",86029-64-3
1711,T3D2015,"2,2',3,3',4,5,6'-Heptabromobiphenyl",88700-04-3
1712,T3D2016,"2,2',3,5',6-Pentabromobiphenyl",88700-05-4
1713,T3D2017,"2,3,3',4,4',5,5'-Heptabromobiphenyl",88700-06-5
1714,T3D2018,4-Monobromobiphenyl,92-66-0
1715,T3D2019,"4,4'-Dibromobiphenyl",92-86-4
1716,T3D2020,"2,2',3,4',5,6'-Hexabromobiphenyl",93261-83-7
1717,T3D2021,"2,3,4,4',5-Pentabromobiphenyl",96551-70-1
1718,T3D2022,"2,2',4,6'-Tetrabromobiphenyl",97038-95-4
1719,T3D2023,"2,2',6,6'-Tetrabromobiphenyl",97038-96-5
1720,T3D2024,"2,2',4,4',6-Pentabromobiphenyl",97038-97-6
1721,T3D2025,"3,3',4,5'-Tetrabromobiphenyl",97038-98-7
1722,T3D2026,"2,3,3',4-Tetrabromobiphenyl",97038-99-8
1723,T3D2027,"2,2',4,6,6'-Pentabromobiphenyl",97063-75-7
1724,T3D2032,"2,2',3,3',4-Pentabromobiphenyl",
1725,T3D2033,"2,2',3,6-Tetrabromobiphenyl",
1726,T3D2034,"2,2',3,4,5,6-Hexabromobiphenyl",
1727,T3D2035,"2,2',3,3'-Tetrabromobiphenyl",
1728,T3D2036,4-Bromobiphenyl Ether,101-55-3
1729,T3D2037,"4,4'-Dibromobiphenyl Ether",2050-47-7
1730,T3D2038,Tribromobiphenyl Ether,49690-94-0
1731,T3D2039,Tetrabromodiphenyl ethers,40088-47-9
1732,T3D2040,Pentabromodiphenyl ethers,32534-81-9
1733,T3D2041,Hexabromobiphenyl Ether,36483-60-0
1734,T3D2042,Heptabromobiphenyl Ether,68928-80-3
1735,T3D2043,"2,3,3',4,4',5,5',6'-Octabromobiphenyl Ether",32536-52-0
1736,T3D2044,Nonabromobiphenyl Ether,63936-56-1
1737,T3D2045,"2,2',3,3',4,4',5,5',6,6'-Decabromobiphenyl Ether",1163-19-5
1738,T3D2046,1-Chlorodibenzo-p-dioxin,39227-53-7
1739,T3D2047,2-Chlorodibenzo-p-dioxin,39227-54-8
1740,T3D2048,"1,3-Dichlorodibenzo-p-dioxin",50585-39-2
1741,T3D2049,"1,6-Dichlorodibenzo-p-dioxin",38178-38-0
1742,T3D2050,"2,3-Dichlorodibenzo-p-dioxin",29446-15-9
1743,T3D2051,"2,7-Dichlorodibenzo-p-dioxin",33857-26-0
1744,T3D2052,"2,8-Dichlorodibenzo-p-dioxin",38964-22-6
1745,T3D2053,"1,4-Dichlorodibenzo-p-dioxin",54536-19-5
1746,T3D2054,"1,2-Dichlorodibenzo-p-dioxin",54536-18-4
1747,T3D2055,"1,9-Dichlorodibenzo-p-dioxin",64560-13-0
1748,T3D2056,"1,8-Dichlorodibenzo-p-dioxin",82291-27-8
1749,T3D2057,"1,7-Dichlorodibenzo-p-dioxin",82291-26-7
1750,T3D2058,"1,2,4-Trichlorodibenzo-p-dioxin",39227-58-2
1751,T3D2059,"2,3,7-Trichlorodibenzo-p-dioxin",33857-28-2
1752,T3D2060,"1,3,7-Trichlorodibenzo-p-dioxin",67028-17-5
1753,T3D2061,"1,7,8-Trichlorodibenzo-p-dioxin",82306-65-8
1754,T3D2062,"1,4,9-Trichlorodibenzo-p-dioxin",82306-63-6
1755,T3D2063,"1,4,8-Trichlorodibenzo-p-dioxin",82306-64-7
1756,T3D2064,"1,3,9-Trichlorodibenzo-p-dioxin",82306-62-5
1757,T3D2065,"1,3,8-Trichlorodibenzo-p-dioxin",82306-61-4
1758,T3D2066,"1,3,6-Trichlorodibenzo-p-dioxin",82291-33-6
1759,T3D2067,"1,2,9-Trichlorodibenzo-p-dioxin",82291-32-5
1760,T3D2068,"1,2,8-Trichlorodibenzo-p-dioxin",82291-31-4
1761,T3D2069,"1,2,7-Trichlorodibenzo-p-dioxin",82291-30-3
1762,T3D2070,"1,2,6-Trichlorodibenzo-p-dioxin",69760-96-9
1763,T3D2071,"1,2,3-Trichlorodibenzo-p-dioxin",54536-17-3
1764,T3D2072,"1,2,3,4-Tetrachlorodibenzo-p-dioxin",30746-58-8
1765,T3D2073,"1,2,3,6-Tetrachlorodibenzo-p-dioxin",71669-25-5
1766,T3D2074,"1,2,3,7-Tetrachlorodibenzo-p-dioxin",67028-18-6
1767,T3D2075,"1,2,3,8-Tetrachlorodibenzo-p-dioxin",53555-02-5
1768,T3D2076,"1,2,3,9-Tetrachlorodibenzo-p-dioxin",71669-26-6
1769,T3D2077,"1,2,4,6-Tetrachlorodibenzo-p-dioxin",71669-27-7
1770,T3D2078,"1,2,4,7-Tetrachlorodibenzo-p-dioxin",71669-28-8
1771,T3D2079,"1,2,4,8-Tetrachlorodibenzo-p-dioxin",71669-29-9
1772,T3D2080,"1,2,4,9-Tetrachlorodibenzo-p-dioxin",71665-99-1
1773,T3D2081,"1,2,6,7-Tetrachlorodibenzo-p-dioxin",40581-90-6
1774,T3D2082,"1,2,6,8-Tetrachlorodibenzo-p-dioxin",67323-56-2
1775,T3D2083,"1,2,6,9-Tetrachlorodibenzo-p-dioxin",40581-91-7
1776,T3D2084,"2,3,6,7-Tetrachlorodibenzo-p-dioxin",34816-53-0
1777,T3D2085,"1,2,8,9-Tetrachlorodibenzo-p-dioxin",62470-54-6
1778,T3D2086,"1,3,6,8-Tetrachlorodibenzo-p-dioxin",33423-92-6
1779,T3D2087,"1,3,6,9-Tetrachlorodibenzo-p-dioxin",71669-24-4
1780,T3D2088,"1,3,7,8-Tetrachlorodibenzo-p-dioxin",50585-46-1
1781,T3D2089,"1,3,7,9-Tetrachlorodibenzo-p-dioxin",62470-53-5
1782,T3D2090,"1,4,6,9-Tetrachlorodibenzo-p-dioxin",40581-93-9
1783,T3D2091,"1,4,7,8-Tetrachlorodibenzo-p-dioxin",40581-94-0
1784,T3D2092,"1,2,3,4,7-Pentachlorodibenzo-p-dioxin",39227-61-7
1785,T3D2093,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",40321-76-4
1786,T3D2094,"1,2,4,7,8-Pentachlorodibenzo-p-dioxin",58802-08-7
1787,T3D2095,"1,2,3,8,9-Pentachlorodibenzo-p-dioxin",71925-18-3
1788,T3D2096,"1,2,4,8,9-Pentachlorodibenzo-p-dioxin",82291-38-1
1789,T3D2097,"1,2,4,6,9-Pentachlorodibenzo-p-dioxin",82291-36-9
1790,T3D2098,"1,2,4,6,7-Pentachlorodibenzo-p-dioxin",82291-35-8
1791,T3D2099,"1,2,3,7,9-Pentachlorodibenzo-p-dioxin",71925-17-2
1792,T3D2100,"1,2,3,6,9-Pentachlorodibenzo-p-dioxin",82291-34-7
1793,T3D2101,"1,2,3,6,8-Pentachlorodibenzo-p-dioxin",71925-16-1
1794,T3D2102,"1,2,3,4,6-Pentachlorodibenzo-p-dioxin",67028-19-7
1795,T3D2103,"1,2,4,7,9-Pentachlorodibenzo-p-dioxin",82291-37-0
1796,T3D2104,"1,2,4,6,8-Pentachlorodibenzo-p-dioxin",71998-76-0
1797,T3D2105,"1,2,3,6,7-Pentachlorodibenzo-p-dioxin",71925-15-0
1798,T3D2106,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",57653-85-7
1799,T3D2107,"1,2,3,6,7,9-Hexachlorodibenzo-p-dioxin",64461-98-9
1800,T3D2108,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",19408-74-3
1801,T3D2109,"1,2,4,6,7,9-Hexachlorodibenzo-p-dioxin",39227-62-8
1802,T3D2110,"1,2,3,4,6,7-Hexachlorodibenzo-p-dioxin",58200-66-1
1803,T3D2111,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",39227-28-6
1804,T3D2112,"1,2,3,6,8,9-Hexachlorodibenzo-p-dioxin",58200-69-4
1805,T3D2113,"1,2,3,4,6,9-Hexachlorodibenzo-p-dioxin",58200-68-3
1806,T3D2114,"1,2,4,6,8,9-Hexachlorodibenzo-p-dioxin",58802-09-8
1807,T3D2115,"1,2,3,4,6,8-Hexachlorodibenzo-p-dioxin",58200-67-2
1808,T3D2116,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",35822-46-9
1809,T3D2117,"1,2,3,4,6,7,9-Heptachlorodibenzo-p-dioxin",58200-70-7
1810,T3D2118,Octachlorodibenzo-p-dioxin,3268-87-9
1811,T3D2132,"1,2,3,4,6,7,8,9,10,10,11,11-Dodecachloro-1,4,4a,5a,6,9,9a,9b-octahydro-1,4:6,9- dimethanodibenzofuran",31107-44-5
1812,T3D2134,"1,2,3,4,6,7,8-Heptabromodibenzofuran",107555-95-3
1813,T3D2136,"1,2,3,4,6,7,9-Heptachlorodibenzofuran",70648-25-8
1814,T3D2137,"1,2,3,4,6,7-Hexabromodibenzofuran",124388-78-9
1815,T3D2138,"1,2,3,4,6,7-Hexachlorodibenzofuran",79060-60-9
1816,T3D2139,"1,2,3,4,6,8,9-Heptachlorodibenzofuran",69698-58-4
1817,T3D2140,"1,2,3,4,6,8-Hexachlorodibenzofuran",69698-60-8
1818,T3D2141,"1,2,3,4,6,9-Hexachlorodibenzofuran",91538-83-9
1819,T3D2142,"1,2,3,4,6-Pentachlorodibenzofuran",83704-47-6
1820,T3D2143,"1,2,3,4,7,8,9-Heptabromodibenzofuran",161880-51-9
1821,T3D2144,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",55673-89-7
1822,T3D2145,"1,2,3,4,7,8-Hexabromodibenzofuran",129880-08-6
1823,T3D2146,"1,2,3,4,7,8-Hexachlorodibenzofuran",70648-26-9
1824,T3D2147,"1,2,3,4,7,9-Hexachlorodibenzofuran",91538-84-0
1825,T3D2148,"1,2,3,4,7-Pentachlorodibenzofuran",83704-48-7
1826,T3D2149,"1,2,3,4,8,9-Hexachlorodibenzofuran",92341-07-6
1827,T3D2150,"1,2,3,4,8-Pentachlorodibenzofuran",67517-48-0
1828,T3D2151,"1,2,3,4,9-Pentachlorodibenzofuran",83704-49-8
1829,T3D2152,"1,2,3,4-Tetrachlorodibenzofuran",24478-72-6
1830,T3D2154,"1,2,3,6,7,8-Hexabromodibenzofuran",107555-94-2
1831,T3D2155,"2,3,4,7,8,9-Hexachlorodibenzofuran",57117-44-9
1832,T3D2156,"1,2,3,6,7,9-Hexachlorodibenzofuran",92341-06-5
1833,T3D2157,"1,2,3,6,7-Pentachlorodibenzofuran",57117-42-7
1834,T3D2158,"1,2,3,6,8,9-Hexachlorodibenzofuran",75198-38-8
1835,T3D2159,"1,2,3,6,8-Pentachlorodibenzofuran",83704-51-2
1836,T3D2160,"1,2,3,6,9-Pentachlorodibenzofuran",83704-52-3
1837,T3D2161,"1,2,3,6-Tetrachlorodibenzofuran",83704-21-6
1838,T3D2162,"1,2,3,7,8,9-Hexabromodibenzofuran",161880-49-5
1839,T3D2163,"1,2,3,7,8,9-Hexachlorodibenzofuran",72918-21-9
1840,T3D2164,"1,2,3,7,8-Pentabromodibenzofuran",107555-93-1
1841,T3D2165,"1,2,3,7,8-Pentachlorodibenzofuran",57117-41-6
1842,T3D2166,"1,2,3,7,9-Pentachlorodibenzofuran",83704-53-4
1843,T3D2167,"1,2,3,7-Tetrachlorodibenzofuran",83704-22-7
1844,T3D2168,"1,2,3,8,9-Pentachlorodibenzofuran",83704-54-5
1845,T3D2169,"1,2,3,8-Tetrachlorodibenzofuran",62615-08-1
1846,T3D2170,"1,2,3,9-Tetrachlorodibenzofuran",83704-23-8
1847,T3D2171,"1,2,4,6,7,8-Hexachlorodibenzofuran",67562-40-7
1848,T3D2172,"1,2,4,6,7,9-Hexachlorodibenzofuran",75627-02-0
1849,T3D2173,"1,2,4,6,7-Pentachlorodibenzofuran",83704-50-1
1850,T3D2174,"1,2,4,6,8,9-Hexachlorodibenzofuran",69698-59-5
1851,T3D2175,"1,2,4,6,8-Pentachlorodibenzofuran",69698-57-3
1852,T3D2176,"1,2,4,6,9-Pentachlorodibenzofuran",70648-24-7
1853,T3D2177,"1,2,4,6-Tetrachlorodibenzofuran",71998-73-7
1854,T3D2178,"1,2,4,7,8-Pentachlorodibenzofuran",58802-15-6
1855,T3D2179,"1,2,4,7,9-Pentachlorodibenzofuran",71998-74-8
1856,T3D2180,"1,2,4,7-Tetrachlorodibenzofuran",83719-40-8
1857,T3D2181,"1,2,4,8,9-Pentachlorodibenzofuran",70648-23-6
1858,T3D2182,"1,2,4,8-Tetrachlorodibenzofuran",64126-87-0
1859,T3D2184,"2,3,4,8,9-Pentachlorodibenzofuran",69433-00-7
1860,T3D2185,"1,3,4,8,9-Pentachlorodibenzofuran",70872-82-1
1861,T3D2186,"1,2,6,7-Tetrachlorodibenzofuran",83704-25-0
1862,T3D2187,"1,2,6,8-Tetrachlorodibenzofuran",83710-07-0
1863,T3D2188,"1,2,7,8-Tetrabromodibenzofuran",84761-80-8
1864,T3D2189,"1,2,7,8-Tetrachlorodibenzofuran",58802-20-3
1865,T3D2190,"1,2,7,9-Tetrachlorodibenzofuran",83704-26-1
1866,T3D2191,"1,2-Dichlorodibenzofuran",64126-85-8
1867,T3D2192,"1,3,4,6,7,8-Hexachlorodibenzofuran",71998-75-9
1868,T3D2193,"1,3,4,6,7,9-Hexachlorodibenzofuran",92341-05-4
1869,T3D2194,"1,3,4,6,7-Pentachlorodibenzofuran",83704-36-3
1870,T3D2195,"1,3,4,6,8-Pentachlorodibenzofuran",83704-55-6
1871,T3D2196,"1,3,4,6,9-Pentachlorodibenzofuran",70648-15-6
1872,T3D2197,"1,3,4,6-Tetrachlorodibenzofuran",83704-27-2
1873,T3D2198,"1,3,4,7,8-Pentachlorodibenzofuran",58802-16-7
1874,T3D2199,"1,3,4,7,9-Pentachlorodibenzofuran",70648-20-3
